,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
37,Athmar Park,39.7019068,-105.0223646,Golden Pho & Grill,39.698087,-105.02460900000001,Vietnamese Restaurant
38,Athmar Park,39.7019068,-105.0223646,Lollicup,39.697765434570016,-105.02468043415719,Café
39,Athmar Park,39.7019068,-105.0223646,Viet's Restaurant,39.71044817367608,-105.0258251261135,Vietnamese Restaurant
40,Athmar Park,39.7019068,-105.0223646,Peppers,39.7109204478166,-105.03279549378522,Diner
41,Athmar Park,39.7019068,-105.0223646,U.S. Bank ATM,39.69351486302533,-105.0244372407155,ATM
42,Athmar Park,39.7019068,-105.0223646,Family Dollar,39.69706871693948,-105.01053240554711,Discount Store
43,Athmar Park,39.7019068,-105.0223646,Wingstop,39.711533888288045,-105.01139977087466,Wings Joint
44,Athmar Park,39.7019068,-105.0223646,Dairy Queen,39.71147442568259,-105.02404913306236,Ice Cream Shop
45,Athmar Park,39.7019068,-105.0223646,"Premier Mountain Insurance, LLC",39.69638970834326,-105.0104570388794,Financial or Legal Service
46,Athmar Park,39.7019068,-105.0223646,SUBWAY,39.711382,-105.020683,Sandwich Place
47,Athmar Park,39.7019068,-105.0223646,Family Dollar,39.69735,-105.010713,Discount Store
48,Athmar Park,39.7019068,-105.0223646,Walgreens,39.71078729242074,-105.02464699882694,Pharmacy
49,Athmar Park,39.7019068,-105.0223646,Altitude The Dispensary,39.6883658,-105.0246278,Herbs & Spices Store
50,Athmar Park,39.7019068,-105.0223646,Little Caesars Pizza,39.71153299023702,-105.01130854941775,Pizza Place
51,Athmar Park,39.7019068,-105.0223646,7-Eleven,39.7116422,-105.0141042,Convenience Store
52,Athmar Park,39.7019068,-105.0223646,Bubba Chinos,39.71953548303318,-105.02489875716536,Mexican Restaurant
53,Athmar Park,39.7019068,-105.0223646,Church's Chicken,39.69007075,-105.0254599,Fried Chicken Joint
54,Athmar Park,39.7019068,-105.0223646,The Grove: A STRAINWISE™ Dispensary,39.7181221501793,-105.02500616586626,Marijuana Dispensary
55,Athmar Park,39.7019068,-105.0223646,Dangerous Theater,39.71937536633043,-105.01908777943198,Indie Theater
56,Athmar Park,39.7019068,-105.0223646,7-Eleven,39.6898245,-105.0252267,Convenience Store
57,Athmar Park,39.7019068,-105.0223646,Associated Wholesale,39.69393001748755,-105.0158019801613,Flower Shop
58,Athmar Park,39.7019068,-105.0223646,Godsman Park,39.69374367354204,-105.01588503681987,Park
59,Athmar Park,39.7019068,-105.0223646,"Lowe""s Mercado",39.692441383080215,-105.02434654530978,Supermarket
60,Athmar Park,39.7019068,-105.0223646,Ana's Meat Market,39.690752,-105.02602900000001,Grocery Store
61,Athmar Park,39.7019068,-105.0223646,Playa Azúl,39.690521207088864,-105.0254380408664,Mexican Restaurant
62,Athmar Park,39.7019068,-105.0223646,Overland Animal Hospital & Pet Resort,39.689229356091296,-105.01920387755749,Veterinarian
63,Athmar Park,39.7019068,-105.0223646,V's Liquor,39.688764,-105.024188,Liquor Store
64,Athmar Park,39.7019068,-105.0223646,Bosco Masonry Restoration,39.68821,-105.01502,Construction & Landscaping
65,Athmar Park,39.7019068,-105.0223646,E&A Tile and Insulation,39.70056670985894,-105.00208854675293,Home Service
66,Athmar Park,39.7019068,-105.0223646,Alpine Sausage Co.,39.70841883333333,-105.00348345,Deli / Bodega
67,Athmar Park,39.7019068,-105.0223646,Walgreens,39.6889974,-105.0256306,Pharmacy
68,Athmar Park,39.7019068,-105.0223646,Athmar Recreation Center,39.68546309501874,-105.01975357532501,Gym / Fitness Center
69,Athmar Park,39.7019068,-105.0223646,Up In Smoke Hookah Lounge,39.71792,-105.032827,Hookah Bar
70,Auraria,39.7462505,-105.0022825,Tivoli Brewing Company,39.745494457729656,-105.00547491891221,Brewery
71,Auraria,39.7462505,-105.0022825,The Denver Center for the Performing Arts,39.74582361807942,-104.99912079629519,Performing Arts Venue
72,Auraria,39.7462505,-105.0022825,Larimer Square,39.747628,-104.9989536,Plaza
